Marca temporal,"Despois de ler a información sobre o estudo, acepta participar de forma voluntaria? ",Idade  ,Sexo, Anos de experiencia profesional en enfermaría  , Nivel educativo  ,  Área Sanitaria na que traballa  ,Ámbito de traballo,"Con que frecuencia usa tecnoloxía dixital na súa práctica clínica fora dos programas corporativos?   ""A tecnoloxía dixital inclúe calquera ferramenta electrónica ou software que empregue na súa práctica clínica, como historias clínicas electrónicas, aplicacións de xestión de pacientes, plataformas de teleconsulta, sistemas de prescrición electrónica, dispositivos de monitorización dixital ou ferramentas de apoio á toma de decisións clínicas baseadas en datos"".  ",En que medida comprende o concepto de Intelixencia Artificial (IA)?  ,Usa IA no seu traballo para planificar ou realizar coidados?  ,Recibiu formación en IA ou educación previa sobre este tema?  ,Gustaríalle recibir formación sobre IA en saúde?  ,Que importancia lle dá á formación en intelixencia artificial para o seu desenvolvemento profesional?  ,1.Creo que o uso da IA na miña especialidade podería mellorar a atención aos pacientes.  ,2. Creo que o uso da IA na miña especialidade podería mellorar a toma de decisións clínicas   ,3.Creo que a IA pode mellorar os indicadores de saúde da poboación  ,4.Creo que a IA pode cambiar o meu papel como profesional sanitario no futuro  ,5.Creo que a introdución da IA pode reducir o custo económico asociado ao meu traballo   ,6.Creo que algún día a IA poderá formar parte do meu traballo como profesional sanitario    ,7.Creo que a maioría dos profesionais sanitarios están preparados para a introdución da tecnoloxía baseada en IA      ,8.Creo que recibín unha formación adecuada para usar IA no meu traballo        ,9.Creo que existe un marco ético para o uso da tecnoloxía baseada en IA no meu lugar de traballo        ,"10.Creo que, se a tecnoloxía baseada en IA comete un erro, toda a responsabilidade recae no profesional sanitario  ","Que desafíos considera como os principais obstáculos para a integración da IA na súa práctica clínica?  (Falta de formación, dúbidas na ética, implementación, infraestructura, desembolso económico e demáis temáticas que considere importantes)","En que áreas de formación sobre IA estaría interesado/a recibir capacitación? (""Ningunha"" ou ""non sei"" tamén son respostas válidas)"
24/03/2025 15:09:10,Sí,33,Home,>10 anos,Máster,Ourense-Verín-O Barco,Urbano,Sempre,Bastante,Non,"Cursos autodidactas (webinars, conferencias, etc.)",Sí,Moi importante,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,Totalemnte en desacordo,Totalemnte en desacordo,Totalemnte en desacordo,Totalmente de acordo,Aspectos éticos e adaptación as necesidades do posto de traballo ,"Ética e aplicación na sanidade, coidados,  xestión,  epidemioloxía..."
24/03/2025 15:39:57,Sí,25,Muller,1-5 anos,Grado,Santiago-Barbanza,Rural,Nunca,Bastante,Non,Ningunha,Sí,Importante,De acordo,De acordo,Nin de acordo nin en desacordo,Nin de acordo nin en desacordo,Nin de acordo nin en desacordo,De acordo,En desacordo,En desacordo,De acordo,En desacordo,Falta de formación e recursos,Non sei
24/03/2025 17:00:22,Sí,37,Muller,>10 anos,Máster,A Coruña-Cee,Rural,Sempre,Pouco,Non,Ningunha,Sí,Importante,Totalmente de acordo,De acordo,De acordo,De acordo,Nin de acordo nin en desacordo,De acordo,En desacordo,Totalemnte en desacordo,Nin de acordo nin en desacordo,De acordo,A falta de información e formación ,En calquera área que supoña unha mellora para a consulta diaria
24/03/2025 17:48:10,Sí,33,Home,6-10 anos,Grado,Vigo,Urbano,Sempre,Bastante,Sí,"Cursos autodidactas (webinars, conferencias, etc.)",Sí,Importante,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,"Infraestructura, podemos ter unha IA pagadda por nos, pero o loxico e que este integrada no noso sistema",Investigacion e medica
24/03/2025 20:14:29,Sí,45,Muller,>10 anos,Máster,Vigo,Rural,Frecuentemente,Bastante,Sí,Ningunha,Sí,Importante,De acordo,De acordo,De acordo,En desacordo,De acordo,De acordo,De acordo,Totalemnte en desacordo,Nin de acordo nin en desacordo,De acordo,Falta de información ,Las maximas posibles que esten relacionadas con mi práctica profesional 
25/03/2025 6:08:08,Sí,29,Muller,6-10 anos,Máster,Ourense-Verín-O Barco,Rural,Raramente,Algo,Non,Ningunha,Sí,Importante,Totalmente de acordo,De acordo,De acordo,De acordo,De acordo,Totalmente de acordo,En desacordo,Totalemnte en desacordo,Nin de acordo nin en desacordo,Nin de acordo nin en desacordo,"Barreira dixital dos profesionais sanitarios, recticencia dos mesmos a empregala.",En todas aquelas que puidesen complementar o meu traballo diario.
25/03/2025 8:25:58,Sí,25,Muller,1-5 anos,Grado,Ourense-Verín-O Barco,Rural,Frecuentemente,Bastante,Sí,"Cursos autodidactas (webinars, conferencias, etc.)",Sí,Importante,De acordo,De acordo,De acordo,De acordo,De acordo,De acordo,En desacordo,De acordo,De acordo,De acordo,El no saber usar las IAs por parte de los profesionales sanitarios.,"IAs enfecadas a la práctica clínica, como usarlas adecuadamente en consulta."
25/03/2025 9:15:17,Sí,53,Muller,>10 anos,Máster,Santiago-Barbanza,Urbano,Raramente,Algo,Non,"Cursos autodidactas (webinars, conferencias, etc.)",Sí,Moi importante,De acordo,De acordo,De acordo,De acordo,De acordo,De acordo,Nin de acordo nin en desacordo,En desacordo,Nin de acordo nin en desacordo,De acordo,Formación y el coste,Tratamientos. Cuidados. 
25/03/2025 9:31:30,Sí,29,Muller,6-10 anos,Grado,Santiago-Barbanza,Rural,Frecuentemente,Algo,Non sei,Ningunha,Sí,Importante,Nin de acordo nin en desacordo,Nin de acordo nin en desacordo,Nin de acordo nin en desacordo,En desacordo,De acordo,De acordo,En desacordo,En desacordo,En desacordo,De acordo,Falta de formación e marco ético,Non sei
25/03/2025 11:14:14,Sí,38,Muller,>10 anos,Máster,A Coruña-Cee,Urbano,Ás veces,Totalmente,Non,Ningunha,Sí,Importante,Nin de acordo nin en desacordo,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,Totalemnte en desacordo,Totalmente de acordo,Totalemnte en desacordo,Totalemnte en desacordo,Totalemnte en desacordo,Totalmente de acordo,Falta de formación,Toma de decisiones
